Course	Room	Teacher	Time	Students
1	PK229	1	14	1 360 383 423 452 554 619 701 723 794 867 1000 
2	PK180	2	3	2 7 30 167 184 219 250 292 338 359 381 388 555 607 624 
3	PK25	3	8	3 88 245 400 424 447 795 
4	PK349	4	5	4 41 147 174 289 297 305 336 360 372 380 382 392 414 419 448 483 492 523 561 594 621 636 649 656 675 707 723 726 730 731 737 741 744 748 763 780 793 805 824 845 847 851 852 863 864 882 884 885 896 926 939 949 963 987 1016 1021 1039 1069 1082 1084 1090 1100 1102 1104 1122 1144 
5	TAYG	5	8	5 8 27 282 363 588 649 1018 
6	PK229	6	15	6 24 47 389 528 567 794 900 946 960 
7	CARP21	7	11	7 30 41 58 59 79 81 94 109 111 114 139 167 168 179 184 197 201 218 219 246 247 250 266 294 363 
8	PK243	8	7	7 148 177 247 309 359 381 386 390 412 468 476 570 686 700 807 931 933 948 986 994 1076 1117 
9	PK180	9	14	7 84 389 468 571 580 604 668 700 781 788 912 913 1049 
10	TH110	10	16	8 31 34 64 121 137 202 247 312 373 437 511 549 675 768 856 
11	CARP21	11	1	8 65 110 122 130 131 150 157 269 312 382 395 401 415 432 437 454 456 486 502 504 509 511 566 618 620 642 675 676 715 719 740 777 888 1127 
12	PK180	1	11	8 10 18 27 39 78 187 193 272 281 282 347 
13	PK349	12	3	9 67 135 136 252 299 311 313 393 423 481 492 494 502 505 507 541 565 572 577 620 631 633 643 645 691 709 711 712 715 728 736 743 744 766 778 787 791 803 805 807 813 837 844 848 850 883 885 916 922 929 941 945 950 982 983 987 1022 1031 1037 1053 1056 1058 1068 1072 1084 1089 1090 1105 1113 1124 1125 1134 1136 1140 
14	PK349	13	12	9 80 135 245 299 364 402 415 424 481 486 490 522 525 539 566 571 584 602 631 637 645 670 703 710 712 713 728 736 748 749 752 763 773 778 784 796 808 856 870 879 940 946 949 1035 
15	PK349	14	8	9 89 90 99 106 183 196 205 211 249 252 253 262 280 302 304 311 313 318 319 333 338 395 397 423 438 446 450 451 487 490 493 509 512 531 543 552 558 566 576 602 639 669 703 710 732 783 796 830 864 874 886 
16	DAL119	15	2	10 42 155 226 347 381 721 833 889 993 
17	CARP21	16	8	11 23 45 61 76 118 165 169 170 176 178 182 191 192 208 216 284 296 306 321 323 329 343 345 357 362 625 
18	EHI	17	12	11 169 484 518 519 
19	TH224	18	14	11 26 208 
20	DAL2	19	8	
21	PK25	20	9	12 275 290 359 580 683 814 
22	PK25	21	10	13 197 202 204 221 269 660 
23	CARP21	22	12	13 110 155 206 226 317 340 370 373 382 531 562 590 592 628 657 701 706 727 777 814 825 847 859 932 997 
24	PK180	23	12	14 18 91 95 142 285 286 327 358 368 453 462 466 606 
25	TH110	24	9	14 95 118 314 351 441 453 650 654 678 680 695 797 935 1011 1060 
26	GOB	5	16	15 
27	PK349	25	7	16 109 119 121 131 147 168 230 251 257 320 404 472 480 488 489 508 510 545 574 586 593 676 703 721 731 734 785 808 817 836 871 889 924 937 944 954 959 960 964 978 1019 1023 1045 1046 1051 1065 1075 1093 1096 1106 1111 1115 1116 1135 
28	CARP21	26	16	16 100 412 422 452 490 493 498 537 599 648 664 670 805 824 829 925 1008 1029 1040 1115 1135 1143 
29	CARP21	27	5	17 40 42 44 72 96 131 160 181 199 210 230 241 267 279 334 339 344 393 479 490 515 521 546 596 629 819 826 
30	GOB	28	13	18 
31	TH224	26	11	225 516 
32	CARP21	29	17	19 55 60 125 142 286 340 362 404 466 473 503 517 586 647 657 681 754 809 823 898 964 1002 1102 
33	EHI	30	1	19 45 224 423 495 
34	PK180	31	15	19 57 60 391 471 476 493 495 655 697 698 711 
35	CARP21	32	6	20 80 263 264 274 375 417 426 477 539 613 653 660 676 738 776 924 957 974 977 979 1043 1050 1063 1072 1080 1143 1144 
36	PK25	33	11	20 174 238 324 337 553 
37	DAL119	34	17	20 227 327 367 368 621 932 
38	PK349	23	10	21 55 56 187 217 232 283 298 340 342 358 368 378 388 390 407 445 468 477 503 535 550 564 578 583 646 675 683 684 691 695 699 718 727 738 742 754 774 792 793 818 825 850 853 885 949 1060 1092 
