Course	Room	Teacher	Time	Students
1	BYC127	1	7	1 625 
2	PK100	2	2	2 27 64 90 96 114 118 141 166 181 183 190 207 236 318 340 369 375 389 436 512 576 721 
3	TAYF	3	13	3 533 584 684 730 735 877 
4	PK20	4	17	4 226 379 425 515 541 610 613 651 719 740 834 918 978 1103 
5	PK338	5	14	4 14 17 33 47 48 50 56 69 81 88 89 99 119 123 127 131 134 191 192 214 222 228 230 231 237 271 279 288 310 311 312 329 349 359 360 362 642 758 
6	TH110	4	8	4 48 52 231 272 279 408 418 442 506 558 605 610 733 
7	PK338	6	8	5 160 438 449 470 596 638 647 648 692 700 742 755 778 796 826 835 890 895 902 903 916 930 934 935 949 951 957 966 977 978 979 980 984 987 992 1006 1021 1031 1033 1046 1054 1055 1069 1089 1090 1098 1105 1107 1118 1122 1132 1152 1158 
8	CARP21	7	15	6 282 372 512 601 662 1073 
9	PK25	8	9	164 222 329 380 878 
10	PK278	9	14	7 8 74 92 105 130 177 197 242 321 370 441 471 473 498 587 610 643 665 674 694 791 797 890 938 1057 
11	TH110	10	9	7 16 81 95 148 180 242 255 304 343 473 489 493 498 
12	PK349	11	5	7 31 55 106 130 180 186 217 242 264 265 343 587 
13	TH104	12	9	8 64 171 183 192 202 204 236 
14	TH104	12	11	8 64 171 183 192 202 204 236 
15	PK25	13	7	8 105 130 172 217 
16	PK20	14	14	9 20 79 117 158 224 233 252 306 339 413 417 524 560 561 
17	PK278	14	15	9 12 34 42 58 61 79 94 102 113 117 121 144 193 224 233 246 248 252 260 292 306 316 319 385 413 
18	PK100	15	11	10 36 37 58 98 99 107 112 114 128 141 153 188 215 220 256 272 295 361 538 844 
19	PK349	16	16	10 17 56 122 124 128 141 179 232 272 538 
20	PK243	17	13	10 42 262 304 314 421 901 1022 
21	PK100	18	12	10 12 20 34 64 165 213 246 260 305 345 398 469 508 647 676 695 754 775 853 881 
22	PK25	19	4	77 303 317 455 
23	PK20	19	2	11 24 43 59 72 77 137 150 201 216 250 267 280 303 305 315 352 374 741 
24	PK100	20	4	11 146 284 296 311 326 359 366 397 401 476 496 540 564 614 651 653 664 668 768 957 1058 1062 
25	PK349	21	3	12 23 89 107 209 253 333 392 399 659 678 717 1206 
26	PK20	22	5	13 45 63 138 226 382 429 483 537 588 589 618 652 724 792 824 885 
27	PK278	23	10	13 45 63 96 226 243 270 277 289 301 306 368 388 415 421 452 490 491 518 539 797 866 
28	PK20	24	15	13 66 70 78 200 208 219 226 251 254 378 611 733 750 804 
29	PK20	25	11	13 45 152 159 270 289 297 350 373 463 519 525 539 550 733 804 835 
30	PK100	26	16	14 33 55 63 118 129 171 218 347 423 508 528 576 606 720 730 734 758 
31	CARP21	27	16	58 88 108 165 184 366 420 537 
32	PK180	28	7	15 232 234 1029 
33	TH110	29	10	15 229 249 287 357 408 419 422 432 484 485 517 580 592 
34	PK349	30	12	15 52 128 221 476 482 632 690 787 822 840 993 
35	PK20	31	16	16 62 79 214 224 240 559 851 889 933 983 1056 
36	PK349	32	6	16 58 79 113 224 248 285 292 417 555 578 858 
37	PK243	33	14	255 299 619 785 816 914 
38	CARP21	34	5	17 21 56 191 204 230 231 232 397 497 520 
39	TH104	23	12	18 23 135 139 152 297 311 373 
40	PK349	35	4	18 557 603 645 658 855 900 994 999 1013 1014 1136 
41	TH104	36	13	19 344 353 419 454 484 530 557 
42	CARP21	37	17	19 66 78 135 228 264 283 344 353 359 
43	EHLEC	38	11	21 334 522 861 
44	TH104	39	8	22 87 330 374 396 550 572 645 
45	TH104	40	14	22 87 122 156 176 254 374 
46	PK278	41	1	23 44 140 156 278 399 406 437 452 458 478 497 533 571 574 624 668 691 704 737 827 834 860 982 994 999 1047 1059 1067 1082 1092 1094 1138 1203 
47	PK349	42	8	23 45 139 159 269 407 421 463 518 607 685 782 
48	TH110	43	1	24 77 244 250 433 541 543 563 611 682 780 790 817 842 
49	BYC127	44	8	24 201 305 
50	PK349	45	10	25 102 136 420 454 469 567 668 713 1033 1150 
51	BYC127	10	5	25 34 42 
52	PK20	46	3	26 54 80 83 97 133 168 203 205 217 247 291 363 405 451 467 
53	PK100	46	10	26 91 97 115 116 125 133 146 168 185 196 198 203 205 241 274 290 313 317 351 363 593 
54	PK278	47	5	27 80 110 181 318 347 369 394 460 470 481 493 501 508 512 554 577 598 634 715 814 907 1027 1077 1107 1111 1123 1144 1150 
55	PK100	48	6	27 90 96 110 114 118 121 181 183 184 189 190 202 213 236 238 279 309 340 347 369 512 540 
56	TAYF	49	15	27 171 345 548 581 693 
57	DAL119	50	4	28 32 
58	PK243	50	1	28 29 32 35 41 109 132 152 210 367 
59	PK180	51	6	28 40 737 829 
60	EHLEC	52	12	29 86 334 549 599 700 
61	PK243	53	3	29 109 132 210 431 480 516 774 
62	PK25	53	6	29 35 41 
63	CARP21	54	2	30 51 159 169 195 298 325 393 488 496 575 
64	PK25	40	10	30 34 377 409 513 
65	TH104	55	15	30 105 120 263 553 748 820 
66	TAYF	56	16	31 101 169 327 346 769 
67	PK25	57	11	32 396 435 506 613 
